Date,Time,X_Drift,Y_Drift,Z_Drift
20260625,12:15:38,-0.0082,0.0103,-0.0077
20260625,12:16:31,-0.0083,0.0106,-0.0077
20260625,12:17:25,-0.0081,0.0104,-0.0077
20260625,12:18:19,-0.0083,0.0106,-0.0075
20260625,12:19:13,-0.0082,0.0101,-0.0076
20260625,12:20:08,-0.0079,0.0104,-0.0076
20260625,12:21:00,-0.0075,0.0105,-0.0076
20260625,12:21:52,-0.008,0.0107,-0.0077
20260625,12:22:44,-0.0084,0.0104,-0.0079
20260625,12:23:36,-0.0081,0.0103,-0.0078
20260625,12:24:29,-0.0083,0.011,-0.0077
20260625,12:25:21,-0.008,0.0108,-0.0077
20260625,12:26:14,-0.0081,0.0107,-0.0077
20260625,12:27:07,-0.0075,0.0108,-0.0074
20260625,12:28:01,-0.008,0.0107,-0.0073
20260625,12:28:55,-0.0081,0.011,-0.0076
20260625,12:29:50,-0.0077,0.011,-0.0076
20260625,12:30:45,-0.0073,0.0107,-0.0074
20260625,12:31:36,-0.0079,0.0108,-0.0075
20260625,12:32:29,-0.0081,0.0111,-0.0073
20260625,12:33:21,-0.0077,0.0108,-0.0073
20260625,12:34:13,-0.0076,0.0108,-0.0074
20260625,12:35:05,-0.0077,0.0109,-0.0072
20260625,12:35:58,-0.0074,0.0108,-0.0075
20260625,12:36:51,-0.0075,0.011,-0.0072
20260625,12:37:44,-0.0072,0.0107,-0.0073
20260625,12:38:38,-0.0075,0.0107,-0.0076
20260625,12:39:32,-0.0077,0.0107,-0.0073
20260625,12:40:26,-0.0077,0.011,-0.0073
20260625,12:41:21,-0.0076,0.0112,-0.007
20260625,12:42:13,-0.0077,0.0109,-0.0073
20260625,12:43:05,-0.0075,0.0111,-0.0071
20260625,12:43:57,-0.0074,0.0114,-0.0073
20260625,12:44:49,-0.0072,0.0108,-0.0075
20260625,12:45:41,-0.0076,0.0114,-0.0074
20260625,12:46:34,-0.0075,0.011,-0.0073
20260625,12:47:27,-0.0076,0.0107,-0.0071
20260625,12:48:20,-0.0073,0.0111,-0.0071
20260625,12:49:13,-0.0072,0.0112,-0.007
20260625,12:50:07,-0.0074,0.0113,-0.007
20260625,12:51:02,-0.0071,0.0113,-0.0071
20260625,12:51:57,-0.0072,0.0117,-0.0073
20260625,12:52:49,-0.0073,0.0113,-0.007
20260625,12:53:41,-0.0073,0.0114,-0.0071
20260625,12:54:33,-0.0074,0.0114,-0.0071
20260625,12:55:25,-0.0071,0.0114,-0.0071
20260625,12:56:17,-0.0071,0.0113,-0.0069
20260625,12:57:10,-0.0068,0.0108,-0.0068
20260625,12:58:03,-0.0069,0.0109,-0.0068
20260625,12:58:56,-0.007,0.0115,-0.0068
20260625,12:59:50,-0.0072,0.0117,-0.0071
20260625,13:00:44,-0.0071,0.0117,-0.0069
20260625,13:01:38,-0.0067,0.0121,-0.0068
20260625,13:02:33,-0.007,0.0116,-0.0067
20260625,13:03:25,-0.007,0.0118,-0.0065
20260625,13:04:18,-0.007,0.0123,-0.0066
20260625,13:05:10,-0.0069,0.0122,-0.0065
20260625,13:06:02,-0.0071,0.0121,-0.0065
20260625,13:06:54,-0.0069,0.0123,-0.0069
20260625,13:07:47,-0.0073,0.0121,-0.0067
20260625,13:08:40,-0.0071,0.0124,-0.0065
20260625,13:09:33,-0.0072,0.0126,-0.0068
20260625,13:10:27,-0.0067,0.012,-0.0067
20260625,13:11:21,-0.007,0.0122,-0.0066
20260625,13:12:15,-0.007,0.0121,-0.0064
20260625,13:13:11,-0.0072,0.0124,-0.0063
20260625,13:14:03,-0.0068,0.0126,-0.0064
20260625,13:14:55,-0.0066,0.0118,-0.0064
20260625,13:15:47,-0.0068,0.0122,-0.0066
